City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
210,koslan,63.4564,48.8989,269.59,91,100,5.1,RU,1675266428
211,anchorage,61.2181,-149.9003,271.12,94,100,0.0,US,1675266282
212,bolotnoye,55.6717,84.3981,252.98,98,5,1.15,RU,1675266429
213,lamu,-2.2717,40.902,300.27,86,55,5.16,KE,1675266429
214,tambacounda,13.7539,-13.7586,311.18,8,0,3.09,SN,1675266430
215,yar-sale,66.8333,70.8333,258.81,97,64,4.44,RU,1675266431
216,saint-junien,45.8833,0.9,280.84,75,73,1.33,FR,1675266431
217,ambon,-3.6954,128.1814,298.23,94,40,2.57,ID,1675266432
218,palu,-0.8917,119.8707,297.15,98,100,0.46,ID,1675266433
219,qasigiannguit,68.8193,-51.1922,261.29,84,100,0.66,GL,1675266434
220,paamiut,61.994,-49.6678,261.2,68,22,4.79,GL,1675266434
221,cherskiy,68.75,161.3,249.59,100,100,1.24,RU,1675266435
222,linguere,15.3953,-15.1193,309.27,17,0,2.06,SN,1675266436
223,torbay,47.6666,-52.7314,265.69,77,75,7.72,CA,1675266438
224,sao filipe,14.8961,-24.4956,295.65,68,24,3.3,CV,1675266270
225,kharp,66.8014,65.8081,257.7,99,50,1.63,RU,1675266440
226,sao felix do xingu,-6.6447,-51.995,299.78,88,76,0.62,BR,1675266442
227,vagur,61.4732,-6.8119,277.25,64,67,5.4,FO,1675266443
228,coquimbo,-29.9533,-71.3436,295.0,68,0,6.69,CL,1675266357
229,saint george,37.1041,-113.5841,267.48,68,0,0.0,US,1675266200
230,san luis,-33.295,-66.3356,300.01,49,57,4.91,AR,1675266358
231,provideniya,64.3833,-173.3,267.38,93,100,2.29,RU,1675266445
232,ahipara,-35.1667,173.1667,292.01,97,67,2.82,NZ,1675266446
233,zapolyarnyy,69.4154,30.8136,271.75,95,100,8.29,RU,1675266446
234,la ronge,55.1001,-105.2842,247.29,76,75,4.12,CA,1675266336
235,dalnerechensk,45.9339,133.7225,248.97,98,15,2.78,RU,1675266449
236,arlit,18.7369,7.3853,303.32,4,0,0.86,NE,1675266449
237,masterton,-40.9597,175.6575,292.53,94,93,2.24,NZ,1675266450
238,gaoua,10.2992,-3.2508,309.92,7,86,2.36,BF,1675266450
239,povenets,62.8487,34.8262,260.28,100,86,1.79,RU,1675266451
240,naberera,-4.2,36.9333,296.01,48,25,3.15,TZ,1675266451
241,masyaf,35.0653,36.3406,280.54,91,100,9.69,SY,1675266452
242,zhigansk,66.7697,123.3711,242.95,97,100,6.31,RU,1675266452
243,liyang,29.7057,118.2862,280.71,66,37,2.56,CN,1675266453
244,alugan,12.2188,125.4808,299.6,87,33,4.95,PH,1675266453
245,asau,46.4333,26.4,274.66,81,47,3.42,RO,1675266454
246,norman wells,65.282,-126.8329,234.17,74,75,1.54,CA,1675266172
247,rawson,-43.3002,-65.1023,297.4,41,3,9.03,AR,1675266454
248,bay roberts,47.5999,-53.2648,266.11,69,24,3.13,CA,1675266455
249,krasnokamensk,50.0979,118.0369,245.08,99,13,2.14,RU,1675266456
250,alice springs,-23.7,133.8833,293.9,94,0,0.0,AU,1675266312
251,kargil,34.5667,76.1,253.05,82,100,1.25,IN,1675266456
252,zaria,11.1113,7.7227,306.0,9,98,5.94,NG,1675266457
253,hukuntsi,-24.0,21.75,300.46,47,100,4.13,BW,1675266458
254,puerto baquerizo moreno,-0.9,-89.6,299.7,83,75,2.57,EC,1675266458
255,buluang,13.3068,123.3425,296.42,94,21,1.58,PH,1675266459
256,lorengau,-2.0226,147.2712,300.97,76,99,4.32,PG,1675266459
257,ilulissat,69.2167,-51.1,261.16,61,75,6.69,GL,1675266460
258,bansko,41.8383,23.4885,269.61,94,51,1.81,BG,1675266460
259,chimore,-16.9833,-65.1333,303.07,62,100,1.87,BO,1675266460
260,dingle,10.9995,122.6711,297.03,94,45,3.36,PH,1675266461
261,chokwe,-24.5333,32.9833,301.8,57,76,5.56,MZ,1675266461
262,kirakira,-10.4544,161.9205,300.02,85,46,3.55,SB,1675266462
263,khatanga,71.9667,102.5,230.1,100,71,1.42,RU,1675266462
264,ponta do sol,32.6667,-17.1,291.5,64,53,4.95,PT,1675266463
265,koshkeldy,43.2516,46.3537,278.37,83,100,3.49,RU,1675266463
266,merauke,-8.4667,140.3333,299.45,88,100,3.97,ID,1675266464
267,lashio,22.9333,97.75,288.74,53,6,0.88,MM,1675266464
268,grindavik,63.8424,-22.4338,271.41,86,75,6.17,IS,1675266465
269,kavieng,-2.5744,150.7967,300.03,82,91,4.47,PG,1675266465
270,flers,48.7372,-0.5747,281.29,82,100,3.41,FR,1675266465
271,bambous virieux,-20.3428,57.7575,300.29,78,75,2.57,MU,1675266466
272,iqaluit,63.7506,-68.5145,248.0,69,100,6.17,CA,1675266466
273,oranjestad,12.524,-70.027,300.12,74,40,6.69,AW,1675266467
274,tuktoyaktuk,69.4541,-133.0374,234.15,67,20,1.03,CA,1675266467
275,suez,29.9737,32.5263,287.27,59,65,6.94,EG,1675266468
276,cajabamba,-7.6167,-78.05,292.12,51,91,1.7,PE,1675266469
277,shihezi,44.3,86.0333,257.88,96,89,1.66,CN,1675266469
278,itarema,-2.9248,-39.9167,299.82,82,100,4.81,BR,1675266319
279,abu dhabi,24.4667,54.3667,299.16,37,0,2.06,AE,1675266470
280,netivot,31.4222,34.5886,284.04,72,98,10.72,IL,1675266470
281,hambantota,6.1241,81.1185,298.34,100,40,1.03,LK,1675266471
282,oktyabrskoye,43.0645,44.7417,273.23,93,75,3.0,RU,1675266471
283,nadym,65.5333,72.5167,259.49,96,11,4.48,RU,1675266472
284,san policarpo,12.1791,125.5072,299.9,86,30,5.34,PH,1675266472
285,ketchikan,55.3422,-131.6461,278.14,93,100,2.57,US,1675266472
286,cacoal,-11.4386,-61.4472,300.67,76,100,0.6,BR,1675266473
287,biak,-0.9131,122.8766,297.53,87,100,1.89,ID,1675266474
288,adelaide,-34.9333,138.6,289.91,66,100,1.34,AU,1675266304
289,hennef,50.7756,7.2831,281.93,70,75,8.75,DE,1675266474
290,verkhnevilyuysk,63.4453,120.3167,250.25,97,100,3.48,RU,1675266475
291,sortland,68.6949,15.4162,270.98,96,96,1.87,NO,1675266475
292,pierre,44.3683,-100.351,264.97,73,100,2.68,US,1675266476
293,san pedro,14.35,121.0167,298.9,82,20,1.54,PH,1675266476
294,umea,63.8284,20.2597,261.99,85,0,2.06,SE,1675266477
295,fallon,39.4735,-118.7774,266.18,79,40,0.0,US,1675266477
296,tepatepec,20.2333,-99.0833,288.93,60,3,0.93,MX,1675266478
297,sur,22.5667,59.5289,293.78,65,25,3.72,OM,1675266478
298,hualmay,-11.0964,-77.6139,297.91,68,99,3.76,PE,1675266479
299,togur,58.3631,82.8265,256.07,99,79,2.56,RU,1675266479
300,korla,41.7597,86.1469,268.33,70,42,1.95,CN,1675266480
301,huarmey,-10.0681,-78.1522,297.28,72,91,3.23,PE,1675266480
302,agua blanca,14.5,-89.65,298.59,50,47,3.67,GT,1675266481
303,tocopilla,-22.092,-70.1979,297.08,78,44,2.97,CL,1675266277
304,gurupa,-1.405,-51.64,295.9,98,100,2.93,BR,1675266481
305,port hardy,50.6996,-127.4199,277.25,87,100,9.77,CA,1675266383
306,taonan,45.3333,122.7833,257.75,72,0,3.69,CN,1675266483
307,vysha,53.8477,42.3777,269.74,97,98,2.88,RU,1675266483
308,codrington,-38.2667,141.9667,284.55,63,99,4.01,AU,1675266484
309,clarence town,-32.5833,151.7833,296.4,98,5,0.47,AU,1675266484
310,zverinogolovskoye,54.4586,64.8542,255.49,96,15,2.59,RU,1675266485
311,bethel,41.3712,-73.414,273.16,55,0,3.09,US,1675266486
312,rabo de peixe,37.8,-25.5833,286.88,77,40,6.69,PT,1675266400
313,berezovka,53.7214,25.4993,273.88,98,100,6.51,BY,1675266487
314,ebeltoft,56.1944,10.6821,279.16,87,75,5.66,DK,1675266487
315,praia da vitoria,38.7333,-27.0667,289.29,72,20,2.87,PT,1675266232
316,belmonte,-15.8631,-38.8828,302.1,57,6,3.3,BR,1675266488
317,college,64.8569,-147.8028,261.25,84,100,2.06,US,1675266489
318,vaitape,-16.5167,-151.75,300.9,70,100,7.76,PF,1675266490
319,peniche,39.3558,-9.3811,288.75,67,0,2.03,PT,1675266490
320,akyab,20.15,92.9,295.66,71,6,3.52,MM,1675266491
